bus_id,route_id
11669,22
11670,22
11671,22
11672,22
11673,22
11674,22
11675,22
11676,22
11677,22
11678,22
11679,22
12423,23
12424,23
12425,23
12426,23
12427,23
12428,23
12429,23
12430,23
12431,23
12432,23
12433,23
12434,23
12435,23
12436,23
12437,23
12438,23
12439,23
12440,23
12441,23
12442,23
12443,23
12444,23
12445,23
12446,23
12447,23
12448,23
12449,23
12450,23
12451,23
12452,23
12453,23
12454,23
12455,23
12456,23
12457,23
12458,23
12459,23
12460,23
12461,23
12462,23
12463,23
12464,23
12465,23
12466,23
12467,23
12468,23
12469,23
12470,23
12471,23
12472,23
12473,23
12474,23
12475,23
12476,23
12477,23
12478,23
12479,23
12480,23
12481,23
12482,23
12483,23
12484,23
12485,23
12486,23
12487,23
12488,23
12489,23
12490,23
12491,23
12492,23
12493,23
12494,23
12495,23
12496,23
12497,23
12498,23
12499,23
12500,23
12501,23
12502,23
12503,23
12504,23
12505,23
12506,23
12507,23
12508,23
12509,23
12510,23
12511,23
12512,23
12513,23
12514,23
12515,23
12516,23
12517,23
12518,23
12519,23
12520,23
12521,23
12522,23
12523,23
12524,23
12525,23
12526,23
12527,23
12528,23
12529,23
12530,23
12531,23
12532,23
12533,23
12534,23
12535,23
12536,23
12537,23
12538,23
12539,23
12540,23
12541,23
12542,23
12543,23
12544,23
12545,23
12546,23
12547,23
12548,23
12549,23
12550,23
12551,23
12552,23
12553,23
12554,23
12555,23
12556,23
12557,23
12558,23
12559,23
12560,23
12561,23
12562,23
12563,23
12564,23
12565,23
12566,23
12567,23
12568,23
12569,23
12570,23
12571,23
12572,23
12573,23
12574,23
12575,23
12576,23
12577,23
12578,23
12579,23
12580,23
12581,23
12582,23
12583,23
12584,23
12585,23
12586,23
12587,23
12588,23
12589,23
12590,23
12591,23
12592,23
12593,23
12594,23
12595,23
12596,23
12597,23
12598,23
12599,23
12600,23
12601,23
12602,23
12603,23
12604,23
12605,23
12606,23
12607,23
12608,23
12942,24
12943,24
12944,24
12945,24
12946,24
12947,24
12948,24
12949,24
12950,24
12951,24
12952,24
12953,24
12954,24
12955,24
12956,24
12957,24
12958,24
12959,24
12960,24
12961,24
12962,24
12963,24
12964,24
12965,24
12966,24
12967,24
12968,24
12969,24
12970,24
12971,24
12972,24
12973,24
12974,24
12975,24
12976,24
12977,24
12978,24
12979,24
12980,24
12981,24
12982,24
12983,24
12984,24
12985,24
12986,24
12987,24
12988,24
12989,24
12990,24
12991,24
12992,24
12993,24
12994,24
12995,24
12996,24
12997,24
12998,24
12999,24
13000,24
13001,24
13002,24
13003,24
13004,24
13005,24
13006,24
13007,24
13008,24
13009,24
13010,24
13011,24
13012,24
13013,24
13014,24
13015,24
13016,24
13017,24
13018,24
13019,24
13020,24
13021,24
13022,24
13023,24
13024,24
13025,24
13026,24
13027,24
13028,24
13029,24
13030,24
13031,24
13032,24
13033,24
13034,24
13035,24
13036,24
13037,24
13038,24
13039,24
13040,24
13041,24
13042,24
13043,24
13044,24
13045,24
13046,24
13047,24
13048,24
13049,24
13050,24
13051,24
13052,24
